
 Sigma profiles (s [e/nm^2], p(s)):

 p(1):    Sigma profile (s [e/nm^2], p(s)) for /media/nastya/storage/Project_nastya/cosmo/QEMXHQIAXOOASZ-UHFFFAOYSA-N.cosmo

   sigma      p(1)
  -3.000     0.000
  -2.900     0.000
  -2.800     0.000
  -2.700     0.000
  -2.600     0.000
  -2.500     0.000
  -2.400     0.000
  -2.300     0.000
  -2.200     0.000
  -2.100     0.000
  -2.000     0.000
  -1.900     0.000
  -1.800     0.000
  -1.700     0.000
  -1.600     0.000
  -1.500     0.211
  -1.400     0.996
  -1.300     1.950
  -1.200     4.105
  -1.100    10.142
  -1.000    18.241
  -0.900    20.810
  -0.800    15.476
  -0.700    11.326
  -0.600    14.617
  -0.500    16.998
  -0.400    10.643
  -0.300     2.788
  -0.200     0.146
  -0.100     0.000
   0.000     0.000
   0.100     0.000
   0.200     0.000
   0.300     0.000
   0.400     0.000
   0.500     0.000
   0.600     0.000
   0.700     0.000
   0.800     0.000
   0.900     0.000
   1.000     0.000
   1.100     0.000
   1.200     0.000
   1.300     0.000
   1.400     0.000
   1.500     0.000
   1.600     0.000
   1.700     0.000
   1.800     0.000
   1.900     0.000
   2.000     0.000
   2.100     0.000
   2.200     0.000
   2.300     0.000
   2.400     0.000
   2.500     0.000
   2.600     0.000
   2.700     0.000
   2.800     0.000
   2.900     0.000
   3.000     0.000
